System,Dataset,Model,MAE,MAPE,RMSE
batlik,corona.csv,Linear Regression,0.386977573960078,3.064577707742322,0.553186428423518
batlik,corona.csv,XGBoost,0.09695896884853537,0.5773069743061626,0.1347357192190666
batlik,corona.csv,Linear Regression,0.36079815465361287,2.6880608259779146,0.5222647379548478
batlik,corona.csv,XGBoost,0.10157214965807795,0.6959704189320765,0.13468258813675843
batlik,corona.csv,Linear Regression,0.38323823691627934,1.7009390204967776,0.5552322348305793
batlik,corona.csv,XGBoost,0.09968667335189459,0.4863325491860915,0.13441393290232664
batlik,corona.csv,Linear Regression,0.37508166775573304,1.7824834537753995,0.5583933768555489
batlik,corona.csv,XGBoost,0.09985553519125728,0.5223335359201593,0.1342227375751378
batlik,corona.csv,Linear Regression,0.39580428794606637,2.4839380849808554,0.5778195211002227
batlik,corona.csv,XGBoost,0.10308883487471016,0.8127657046182571,0.1401214093320025
batlik,cranium.csv,Linear Regression,0.12437045481056197,0.5369218559537852,0.17162185119473652
batlik,cranium.csv,XGBoost,0.07130801722707256,0.5852020723019224,0.0966091308987327
batlik,cranium.csv,Linear Regression,0.1188482826621993,0.34127030918570533,0.1696485630186728
batlik,cranium.csv,XGBoost,0.06960840298590655,0.28056942525984235,0.09198423811187365
batlik,cranium.csv,Linear Regression,0.13044659944933754,0.45164756114878446,0.1825808096585412
batlik,cranium.csv,XGBoost,0.07433710342784004,0.39549261243460093,0.09592963742414362
batlik,cranium.csv,Linear Regression,0.12544522237952913,0.36700720099400874,0.17619749835380583
batlik,cranium.csv,XGBoost,0.06889976745174792,0.3224186808465832,0.09135324027641532
batlik,cranium.csv,Linear Regression,0.1301305756927591,0.6877632009091583,0.18484433285329135
batlik,cranium.csv,XGBoost,0.07248732512428502,0.6725061096658885,0.09664209974350041
batlik,cubus.csv,Linear Regression,0.2184582519809302,1.1864974726958233,0.29771026654128996
batlik,cubus.csv,XGBoost,0.10259112130370264,0.7557281447288852,0.13221677762562536
batlik,cubus.csv,Linear Regression,0.22037694902524566,0.7863101760652135,0.304363315528538
batlik,cubus.csv,XGBoost,0.10113357076473685,0.8261221154964522,0.1328809957502097
batlik,cubus.csv,Linear Regression,0.23148205689051218,0.7475877542664688,0.3140247588311742
batlik,cubus.csv,XGBoost,0.10321774710455613,0.6105049326608998,0.1368604605472013
batlik,cubus.csv,Linear Regression,0.22617120897576268,1.0518132310550474,0.3093649692275991
